x,y,length
367.0,17.0,3625500.0
362.0,17.0,3626475.0
357.0,17.0,3627875.0
352.0,17.0,3629750.0
347.0,17.0,3632150.0
342.0,17.0,3635125.0
492.0,17.0,3768175.0
497.0,17.0,3774650.0
482.0,17.0,3753750.0
487.0,17.0,3761175.0
472.0,17.0,3738025.0
477.0,17.0,3746000.0
462.0,17.0,3721800.0
467.0,17.0,3729925.0
452.0,17.0,3705875.0
457.0,17.0,3713750.0
442.0,17.0,3691050.0
447.0,17.0,3698275.0
432.0,17.0,3646625.0
437.0,17.0,3667425.0
422.0,17.0,3628525.0
427.0,17.0,3628750.0
247.0,17.0,5662925.0
242.0,17.0,5787750.0
257.0,17.0,5421075.0
252.0,17.0,5539675.0
227.0,17.0,6172175.0
222.0,17.0,6303800.0
237.0,17.0,5914200.0
232.0,17.0,6042325.0
207.0,17.0,6709825.0
202.0,17.0,6665900.0
217.0,17.0,6437250.0
212.0,17.0,6572575.0
187.0,17.0,6690900.0
182.0,17.0,6703950.0
197.0,17.0,6671975.0
192.0,17.0,6680275.0
322.0,17.0,4004375.0
327.0,17.0,3910950.0
332.0,17.0,3818300.0
337.0,17.0,3726375.0
302.0,17.0,4414050.0
307.0,17.0,4307950.0
312.0,17.0,4202825.0
317.0,17.0,4098625.0
282.0,17.0,4849200.0
287.0,17.0,4738700.0
292.0,17.0,4629375.0
297.0,17.0,4521175.0
262.0,17.0,5303950.0
267.0,17.0,5188250.0
272.0,17.0,5073925.0
277.0,17.0,4960925.0
717.0,17.0,9368300.0
712.0,17.0,9255800.0
707.0,17.0,9142025.0
702.0,17.0,9027075.0
737.0,17.0,9803550.0
732.0,17.0,9697150.0
727.0,17.0,9589075.0
722.0,17.0,9479425.0
677.0,17.0,8438200.0
672.0,17.0,8318300.0
667.0,17.0,7479425.0
662.0,17.0,7316175.0
697.0,17.0,8911050.0
692.0,17.0,8794050.0
687.0,17.0,8676175.0
682.0,17.0,8557525.0
37.0,22.0,8703575.0
42.0,22.0,8491950.0
27.0,22.0,9137900.0
32.0,22.0,8918875.0
57.0,22.0,7878625.0
62.0,22.0,7681200.0
47.0,22.0,8283950.0
52.0,22.0,8079525.0
2.0,22.0,9795575.0
742.0,17.0,9908175.0
747.0,17.0,1.0010925E7
17.0,22.0,9546150.0
22.0,22.0,9470825.0
7.0,22.0,9708475.0
12.0,22.0,9625350.0
547.0,17.0,4220725.0
542.0,17.0,4112675.0
557.0,17.0,4441300.0
552.0,17.0,4330250.0
567.0,17.0,4668175.0
562.0,17.0,4553925.0
577.0,17.0,4901750.0
572.0,17.0,4784100.0
507.0,17.0,3785625.0
502.0,17.0,3780500.0
517.0,17.0,3793300.0
512.0,17.0,3789925.0
527.0,17.0,3796875.0
522.0,17.0,3795650.0
537.0,17.0,4006050.0
532.0,17.0,3900800.0
622.0,17.0,6100475.0
627.0,17.0,6244125.0
632.0,17.0,6390050.0
637.0,17.0,6538300.0
642.0,17.0,6688925.0
647.0,17.0,6841975.0
652.0,17.0,6997500.0
657.0,17.0,7155550.0
582.0,17.0,5027175.0
587.0,17.0,5154425.0
592.0,17.0,5283550.0
597.0,17.0,5414600.0
602.0,17.0,5547625.0
607.0,17.0,5682675.0
612.0,17.0,5819800.0
617.0,17.0,5959050.0
332.0,22.0,3764700.0
327.0,22.0,3857350.0
342.0,22.0,3581525.0
337.0,22.0,3672775.0
312.0,22.0,4158300.0
307.0,22.0,4263425.0
322.0,22.0,3950775.0
317.0,22.0,4054100.0
372.0,22.0,3483650.0
367.0,22.0,3484250.0
382.0,22.0,3483375.0
377.0,22.0,3483375.0
352.0,22.0,3488500.0
347.0,22.0,3490900.0
362.0,22.0,3485225.0
357.0,22.0,3486625.0
247.0,22.0,5621525.0
252.0,22.0,5498275.0
257.0,22.0,5376550.0
262.0,22.0,5259425.0
227.0,22.0,6130775.0
232.0,22.0,6000925.0
237.0,22.0,5872800.0
242.0,22.0,5746350.0
287.0,22.0,4694175.0
292.0,22.0,4584850.0
297.0,22.0,4476650.0
302.0,22.0,4369525.0
267.0,22.0,5143725.0
272.0,22.0,5029400.0
277.0,22.0,4916400.0
282.0,22.0,4804675.0
182.0,22.0,6514925.0
177.0,22.0,6528275.0
172.0,22.0,6544200.0
167.0,22.0,6562800.0
162.0,22.0,6584175.0
157.0,22.0,6608425.0
152.0,22.0,6610900.0
147.0,22.0,6615900.0
222.0,22.0,6262400.0
217.0,22.0,6395850.0
212.0,22.0,6531175.0
207.0,22.0,6668425.0
202.0,22.0,6485275.0
197.0,22.0,6489325.0
192.0,22.0,6495550.0
187.0,22.0,6504050.0
97.0,22.0,6815775.0
102.0,22.0,6782775.0
87.0,22.0,6891050.0
