x,y,length
685.0,95.0,2941700.0
715.0,95.0,3153700.0
705.0,95.0,3086600.0
655.0,95.0,2703600.0
645.0,95.0,2698700.0
675.0,95.0,2864700.0
665.0,95.0,2785200.0
445.0,95.0,1067800.0
455.0,95.0,1068700.0
465.0,95.0,1168400.0
475.0,95.0,1269400.0
405.0,95.0,1256800.0
415.0,95.0,1160700.0
425.0,95.0,1064500.0
435.0,95.0,1065000.0
535.0,95.0,1932800.0
545.0,95.0,2048500.0
555.0,95.0,2167100.0
485.0,95.0,1371900.0
495.0,95.0,1476100.0
395.0,95.0,1353000.0
385.0,95.0,1449500.0
145.0,95.0,2408600.0
155.0,95.0,2251000.0
125.0,95.0,2739900.0
135.0,95.0,2571500.0
105.0,95.0,3156400.0
115.0,95.0,2914000.0
85.0,95.0,3209100.0
95.0,95.0,3179600.0
445.0,105.0,970100.0
525.0,105.0,2037200.0
435.0,105.0,968000.0
155.0,105.0,2244900.0
145.0,105.0,2402500.0
135.0,105.0,2565400.0
125.0,105.0,2733800.0
195.0,105.0,1814600.0
185.0,105.0,1830600.0
175.0,105.0,1956400.0
165.0,105.0,2092400.0
205.0,105.0,1802900.0
745.0,95.0,3328800.0
725.0,95.0,3216700.0
735.0,95.0,3275200.0
25.0,105.0,3360600.0
35.0,105.0,3289100.0
5.0,105.0,3526900.0
15.0,105.0,3439800.0
65.0,105.0,3118800.0
75.0,105.0,3076100.0
45.0,105.0,3225100.0
55.0,105.0,3168400.0
105.0,105.0,2987400.0
115.0,105.0,2970300.0
85.0,105.0,3040100.0
95.0,105.0,3010600.0
445.0,115.0,878500.0
435.0,115.0,877100.0
325.0,115.0,1044000.0
335.0,115.0,1042500.0
345.0,115.0,1041200.0
295.0,115.0,1117300.0
285.0,115.0,1272300.0
315.0,115.0,1047200.0
305.0,115.0,1052300.0
255.0,115.0,1288100.0
245.0,115.0,1299300.0
275.0,115.0,1274800.0
265.0,115.0,1280000.0
215.0,115.0,1672900.0
205.0,115.0,1680500.0
235.0,115.0,1401100.0
225.0,115.0,1669200.0
175.0,115.0,1944800.0
195.0,115.0,1692200.0
185.0,115.0,1813500.0
145.0,115.0,2390700.0
155.0,115.0,2239000.0
125.0,115.0,2796200.0
135.0,115.0,2790700.0
105.0,115.0,2824500.0
115.0,115.0,2807400.0
85.0,115.0,2877200.0
95.0,115.0,2847700.0
65.0,115.0,2955900.0
75.0,115.0,2913200.0
45.0,115.0,3062200.0
55.0,115.0,3005500.0
25.0,115.0,3197700.0
35.0,115.0,3126200.0
5.0,115.0,3364000.0
15.0,115.0,3276900.0
745.0,105.0,3117100.0
735.0,105.0,3070200.0
725.0,105.0,3018200.0
715.0,105.0,2961500.0
705.0,105.0,2900500.0
695.0,105.0,2835600.0
685.0,105.0,2767200.0
675.0,105.0,2695700.0
665.0,105.0,2621500.0
655.0,105.0,2545000.0
645.0,105.0,2540100.0
625.0,105.0,2827500.0
285.0,125.0,1173800.0
295.0,125.0,1086100.0
305.0,125.0,1021100.0
315.0,125.0,958200.0
325.0,125.0,955000.0
335.0,125.0,953500.0
205.0,125.0,1564000.0
215.0,125.0,1556400.0
225.0,125.0,1552700.0
235.0,125.0,1389900.0
245.0,125.0,1288100.0
255.0,125.0,1189600.0
265.0,125.0,1181500.0
275.0,125.0,1176300.0
135.0,125.0,2633700.0
125.0,125.0,2639200.0
145.0,125.0,2586000.0
175.0,125.0,1939100.0
195.0,125.0,1681000.0
185.0,125.0,1807800.0
55.0,125.0,2848500.0
45.0,125.0,2905200.0
75.0,125.0,2756200.0
65.0,125.0,2798900.0
95.0,125.0,2690700.0
85.0,125.0,2720200.0
115.0,125.0,2650400.0
105.0,125.0,2667500.0
745.0,115.0,2911500.0
725.0,115.0,2825800.0
735.0,115.0,2871300.0
25.0,125.0,3040700.0
35.0,125.0,2969200.0
5.0,125.0,3207000.0
15.0,125.0,3119900.0
665.0,115.0,2463900.0
675.0,115.0,2532800.0
655.0,115.0,2392500.0
705.0,115.0,2720500.0
715.0,115.0,2775400.0
685.0,115.0,2598800.0
695.0,115.0,2661500.0
525.0,115.0,2135700.0
325.0,135.0,871700.0
335.0,135.0,870200.0
285.0,135.0,1081000.0
295.0,135.0,1065300.0
305.0,135.0,995600.0
315.0,135.0,932700.0
245.0,135.0,1282600.0
255.0,135.0,1184100.0
265.0,135.0,1088700.0
275.0,135.0,1083500.0
